"team","away_matches_played","away_wins","away_draws","away_losses","goals_scored_away","goals_conceded_away","away_points"
"Manchester City","19","14","2","3","45","18","44"
"Arsenal","19","13","3","3","43","13","42"
"Liverpool","19","9","7","3","37","24","34"
"Aston Villa","19","8","4","7","28","33","28"
"Tottenham","19","7","6","6","36","34","27"
"Manchester United","19","8","3","8","26","30","27"
"Chelsea","19","7","5","7","33","37","26"
"West Ham","19","7","2","10","29","46","23"
"Bournemouth","19","6","3","10","27","39","21"
"Crystal Palace","19","5","6","8","20","32","21"
"Newcastle","19","6","2","11","36","40","20"
"Everton","19","5","5","9","18","33","20"
"Wolves","19","5","4","10","24","35","19"
"Brighton","19","4","6","9","25","35","18"
"Fulham","19","4","6","9","24","37","18"
"Brentford","19","5","2","12","27","31","17"
"Nottingham Forest","19","4","4","11","22","37","16"
"Burnley","19","3","5","11","22","35","14"
"Luton","19","2","4","13","24","48","10"
"Sheffield Utd","19","1","3","15","16","47","6"
